Time,Voltage
2099.52,0.116622
2099.584,0.116628
2099.648,0.116623
2099.712,0.116626
2099.776,0.116623
2099.84,0.116627
2099.904,0.116629
2099.968,0.116628
2100.032,0.116618
2100.096,0.116613
2100.16,0.116613
2100.224,0.116617
2100.288,0.11661
2100.352,0.116596
2100.416,0.116593
2100.48,0.116597
2100.544,0.116597
2100.608,0.116594
2100.672,0.116596
2100.736,0.11659
2100.8,0.116585
2100.864,0.116581
2100.928,0.116581
2100.992,0.116581
2101.056,0.116581
2101.12,0.116588
2101.184,0.116583
2101.248,0.116589
2101.312,0.11658
2101.376,0.116568
2101.44,0.116571
2101.504,0.116577
2101.568,0.116576
2101.632,0.116568
2101.696,0.116564
2101.76,0.116562
2101.824,0.11656
2101.888,0.116554
2101.952,0.116548
2102.016,0.116554
2102.08,0.116555
2102.144,0.116555
2102.208,0.116563
2102.272,0.116567
2102.336,0.116582
2102.4,0.116635
2102.464,0.116681
2102.528,0.116734
2102.592,0.116813
2102.656,0.116911
2102.72,0.117041
2102.784,0.11721
2102.848,0.11742
2102.912,0.117689
2102.976,0.118015
2103.04,0.118421
2103.104,0.118925
2103.168,0.120243
2103.232,0.121089
2103.296,0.122081
2103.36,0.123212
2103.424,0.124495
2103.488,0.125919
2103.552,0.127509
2103.616,0.129245
2103.68,0.131099
2103.744,0.133061
2103.808,0.135099
2103.872,0.139304
2103.936,0.141373
2104,0.14339
2104.064,0.145307
2104.128,0.147072
2104.192,0.14865
2104.256,0.150027
2104.32,0.151169
2104.384,0.152036
2104.448,0.152642
2104.512,0.152984
2104.576,0.153044
2104.64,0.152396
2104.704,0.151721
2104.768,0.150832
2104.832,0.149757
2104.896,0.148528
2104.96,0.147169
2105.024,0.145717
2105.088,0.144194
2105.152,0.142622
2105.216,0.141018
2105.28,0.139423
2105.344,0.136311
2105.408,0.134821
2105.472,0.133399
2105.536,0.132041
2105.6,0.130755
2105.664,0.129561
2105.728,0.128453
2105.792,0.127411
2105.856,0.126455
2105.92,0.125579
2105.984,0.12477
2106.048,0.124039
2106.112,0.122762
2106.176,0.122221
2106.24,0.121725
2106.304,0.121269
2106.368,0.120868
2106.432,0.120507
2106.496,0.12018
2106.56,0.119888
2106.624,0.119623
2106.688,0.119374
2106.752,0.119143
2106.816,0.118776
2106.88,0.118625
2106.944,0.118485
